System.Id,System.Title,System.State,System.Effort,System.IterationPath,System.WorkItemType,Microsoft.VSTS.Common.BacklogPriority
251,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",New,8,\,Product Backlog Item,746418889
252,"Curabitur finibus purus at purus pretium, ut semper lectus rhoncus.",Committed,5,\Sprint 12,Product Backlog Item,747298684
253,Vestibulum rhoncus eros vel odio maximus egestas.,Committed,3,\Sprint 12,Product Backlog Item,747738582
254,Suspendisse tempus elit sit amet tellus vulputate tempor.,Committed,8,\Sprint 12,Product Backlog Item,748239628
255,"Integer id nisi suscipit, ultricies dui sed, venenatis sapien.",Committed,,\Sprint 12,Product Backlog Item,748239661
256,Etiam feugiat tellus pulvinar pretium malesuada.,New,8,\,Product Backlog Item,748239898
257,"Praesent pellentesque lectus consectetur, convallis augue ac, imperdiet magna.",Committed,5,\Sprint 12,Product Backlog Item,748240134
258,"Nunc commodo felis nec nisi dictum, eu fringilla lorem pulvinar.",Committed,5,\Sprint 12,Product Backlog Item,748240157
259,Pellentesque scelerisque quam non vulputate pretium.,Committed,5,\Sprint 12,Product Backlog Item,748242314
260,Duis facilisis sem in ex aliquet consequat.,Committed,5,\Sprint 12,Product Backlog Item,748243766
261,Cras eleifend ipsum eu gravida vulputate.,Committed,5,\Sprint 12,Product Backlog Item,748245218
262,"Proin ullamcorper turpis vehicula sapien sollicitudin, et ultrices nulla placerat.",Committed,5,\,Product Backlog Item,748245943
263,"Praesent at lacus ornare, porta nibh sed, auctor mi.",New,,\,Product Backlog Item,748246668
264,"Aenean congue nisl vel orci tincidunt, sed pellentesque elit semper.",New,5,\,Product Backlog Item,748248118
265,Aenean non orci eu magna lacinia ornare.,New,,\,Product Backlog Item,748250428
266,Mauris in tortor quis metus tempus mollis quis nec libero.,New,1,\,Product Backlog Item,748251198
267,"Sed mollis tellus vitae felis auctor, vel commodo diam varius.",New,3,\,Product Backlog Item,748251968
268,Duis eu enim non nisi auctor rhoncus sed nec velit.,New,3,\,Product Backlog Item,748252353
269,"Fusce mattis magna lobortis, hendrerit ex id, feugiat mauris.",New,,\,Product Backlog Item,748252738
270,Proin lacinia ante ut nunc aliquam condimentum.,New,,\,Product Backlog Item,748253021
271,Donec fermentum lacus eget libero congue varius.,New,,\,Product Backlog Item,748255000
272,"Suspendisse nec turpis interdum, scelerisque massa ac, maximus ligula.",New,,\,Product Backlog Item,748255180
273,Praesent quis nulla et ex lobortis vulputate.,New,,\,Product Backlog Item,748255241
274,"Donec pellentesque nulla in leo malesuada, non lacinia elit ultrices.",New,8,\,Product Backlog Item,748258446
275,Donec ultrices magna nec laoreet tempus.,New,3,\,Product Backlog Item,748258700
276,Integer porta leo eget sapien cursus aliquam.,New,3,\,Product Backlog Item,748258954
277,"Mauris scelerisque nisi in nulla dictum, vitae congue ligula pretium.",New,,\,Product Backlog Item,748259398
278,Vestibulum elementum ipsum et rutrum consequat.,New,,\,Product Backlog Item,748259493
279,"Curabitur finibus metus sit amet dolor dapibus, id aliquet libero rutrum.",New,,\,Product Backlog Item,748259588
280,Ut non libero ut nunc venenatis euismod.,New,,\,Product Backlog Item,748259683
281,"Nullam sit amet ipsum semper, vulputate est sit amet, volutpat nunc.",New,,\,Product Backlog Item,748259778
282,"Donec consequat nunc quis ipsum tincidunt, non efficitur lacus ullamcorper.",New,,\,Product Backlog Item,748259992
283,"Curabitur et arcu ornare, tempor diam a, posuere leo.",Approved,2,\,Product Backlog Item,748260016
284,Curabitur mattis turpis eget malesuada imperdiet.,New,,\,Product Backlog Item,748260221
285,Ut maximus mauris eget finibus eleifend.,New,,\,Product Backlog Item,748260426
286,Etiam condimentum ex eget dolor bibendum maximus a vel leo.,New,,\,Product Backlog Item,748260631
287,"Curabitur sed mauris sodales, porta lacus eget, ultrices sem.",New,,\,Product Backlog Item,748260836
288,In at tellus at orci sagittis vulputate.,New,,\,Product Backlog Item,748261246
289,"Curabitur in ligula luctus, vehicula est et, commodo odio.",Committed,13,\Sprint 12,Product Backlog Item,748261265
290,Aliquam pellentesque libero at euismod venenatis.,Committed,3,\Sprint 12,Product Backlog Item,748261400
291,Morbi aliquam ante convallis ipsum pharetra tincidunt.,Committed,1,\Sprint 12,Product Backlog Item,748261554
292,Curabitur bibendum purus non venenatis convallis.,Committed,1,\Sprint 12,Product Backlog Item,748261605
293,"Aenean non velit placerat, mollis orci vel, blandit metus.",Committed,8,\,Product Backlog Item,748261656
294,Quisque non ligula at eros egestas dictum.,New,2,\,Product Backlog Item,748261707
295,"Phasellus venenatis dolor finibus dolor pulvinar, non dignissim purus iaculis.",New,2,\,Product Backlog Item,748261732
296,Maecenas quis nunc et eros ullamcorper porta et vitae sem.,Committed,,\,Product Backlog Item,748261758
297,Ut in tellus eu mauris rutrum dapibus.,New,5,\,Product Backlog Item,748261861
298,"Phasellus vitae lectus facilisis, semper enim non, varius ante.",New,8,\,Product Backlog Item,748266754
299,"Donec facilisis lectus et ligula vestibulum, nec eleifend nulla auctor.",New,8,\,Product Backlog Item,748267534
300,"In efficitur erat et augue ornare, quis sodales nisi consequat.",New,,\,Product Backlog Item,748268266
301,"Quisque id mauris mollis, sollicitudin purus imperdiet, porttitor felis.",New,,\,Product Backlog Item,748268802
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
